,电影,评分,链接,类型,地区,上映地点,时长(min),上映时间
0,芳华,9.1,http://maoyan.com/films/1170264,"剧情,爱情,战争",中国大陆,大陆上映,136.0,2017.0
1,妖猫传,7.4,http://maoyan.com/films/345862,"爱情,奇幻","中国大陆,日本",大陆上映,129.0,2017.0
2,前任3：再见前任,9.2,http://maoyan.com/films/344929,"喜剧,爱情",中国大陆,大陆上映,120.0,2017.0
3,妖铃铃,6.5,http://maoyan.com/films/1200984,喜剧,"中国大陆,中国香港",大陆上映,88.0,2017.0
4,二代妖精之今生有幸,8.6,http://maoyan.com/films/368135,"喜剧,爱情,奇幻",中国大陆,大陆上映,110.0,2017.0
5,机器之血,8.7,http://maoyan.com/films/655258,"喜剧,动作,科幻","中国大陆,中国台湾",大陆上映,110.0,2017.0
6,解忧杂货店,8.6,http://maoyan.com/films/343945,"剧情,奇幻","中国大陆,中国香港",大陆上映,109.0,2017.0
7,心理罪之城市之光,8.8,http://maoyan.com/films/1197732,"剧情,动作,犯罪",中国大陆,大陆上映,124.0,2017.0
8,寻梦环游记,9.6,http://maoyan.com/films/342068,"动画,冒险,家庭",美国,大陆上映,105.0,2017.0
9,星球大战：最后的绝地武士,0.0,http://maoyan.com/films/247948,"动作,冒险,科幻",美国,大陆上映,152.0,2018.0
10,奇门遁甲,7.6,http://maoyan.com/films/344183,"喜剧,动作,奇幻","中国大陆,中国香港",大陆上映,113.0,2017.0
11,帕丁顿熊2,9.2,http://maoyan.com/films/343905,"喜剧,动画,冒险","英国,法国",大陆上映,103.0,2017.0
12,小猫巴克里,0.0,http://maoyan.com/films/1212450,"动画,冒险,家庭",中国台湾,大陆上映,86.0,2017.0
13,咕噜咕噜美人鱼2,0.0,http://maoyan.com/films/1211570,"喜剧,动画,冒险",中国大陆,大陆上映,92.0,2017.0
14,至爱梵高·星空之谜,9.1,http://maoyan.com/films/337443,"剧情,动画,传记","英国,波兰",大陆上映,95.0,2017.0
18,圣诞奇妙公司,8.2,http://maoyan.com/films/1206402,"喜剧,家庭",法国,大陆上映,99.0,2017.0
19,勇敢者游戏：决战丛林,0.0,http://maoyan.com/films/341897,"动作,冒险",美国,大陆上映,119.0,2018.0
20,惊魂七夜,4.3,http://maoyan.com/films/1212376,"恐怖,惊悚",中国大陆,大陆上映,90.0,2017.0
21,太空救援,0.0,http://maoyan.com/films/1211063,"冒险,动作,科幻",俄罗斯,大陆上映,103.0,2018.0
23,解忧杂货店,0.0,http://maoyan.com/films/1203768,剧情,日本,大陆上映,129.0,2018.0
24,移动迷宫3：死亡解药,0.0,http://maoyan.com/films/248639,"惊悚,悬疑,科幻",美国,大陆上映,90.0,2018.0
25,卧底巨星,0.0,http://maoyan.com/films/1209260,"喜剧,动作","中国大陆,中国香港",大陆上映,98.0,2018.0
26,羞羞的铁拳,9.1,http://maoyan.com/films/1198214,"喜剧,爱情",中国大陆,大陆上映,100.0,2017.0
28,笔仙咒怨,4.5,http://maoyan.com/films/1208145,"惊悚,悬疑",中国大陆,大陆上映,96.0,2017.0
30,正义联盟,8.6,http://maoyan.com/films/341195,"动作,冒险,科幻",美国,大陆上映,120.0,2017.0
31,鲨海,6.7,http://maoyan.com/films/930966,"恐怖,惊悚,冒险","英国,美国,多米尼加",大陆上映,90.0,2017.0
33,至暗时刻,8.9,http://maoyan.com/films/346625,"剧情,历史,传记",美国,大陆上映,125.0,2017.0
34,第一夫人,0.0,http://maoyan.com/films/344080,"剧情,悬疑,传记",美国,大陆上映,100.0,2018.0
35,战狼2,9.7,http://maoyan.com/films/344264,"动作,战争",中国大陆,大陆上映,123.0,2017.0
36,复仇者联盟3：无限战争,0.0,http://maoyan.com/films/248170,"动作,科幻",美国,大陆上映,185.0,2018.0
37,谜巢,0.0,http://maoyan.com/films/344771,"动作,冒险","中国大陆,澳大利亚",大陆上映,90.0,2018.0
38,熊出没·变形记,0.0,http://maoyan.com/films/1211482,"喜剧,动画,冒险",中国大陆,大陆上映,90.0,2018.0
39,七十七天,8.6,http://maoyan.com/films/618704,"剧情,冒险",中国大陆,大陆上映,115.0,2017.0
40,暮光巴黎,0.0,http://maoyan.com/films/1048266,"剧情,爱情,奇幻","中国大陆,法国",大陆上映,91.0,2018.0
41,烟花,5.5,http://maoyan.com/films/1198813,"爱情,动画,奇幻",日本,大陆上映,91.0,2017.0
42,神秘巨星,0.0,http://maoyan.com/films/1208122,"剧情,喜剧,家庭",印度,大陆上映,145.0,2018.0
43,巨额来电,8.4,http://maoyan.com/films/1203120,"剧情,犯罪","中国大陆,中国香港",大陆上映,123.0,2017.0
45,奇迹男孩,0.0,http://maoyan.com/films/672130,"剧情,家庭",美国,大陆上映,114.0,2018.0
46,心理罪,8.2,http://maoyan.com/films/342381,"动作,悬疑,犯罪",中国大陆,大陆上映,110.0,2017.0
47,迷镇凶案,0.0,http://maoyan.com/films/329733,"喜剧,悬疑,犯罪","美国,英国",大陆上映,104.0,2018.0
48,这就是命,8.0,http://maoyan.com/films/672281,"喜剧,犯罪",中国大陆,大陆上映,98.0,2017.0
50,咖啡风暴,0.0,http://maoyan.com/films/1135401,剧情,"中国大陆,意大利,比利时",大陆上映,140.0,2017.0
51,南极绝恋,0.0,http://maoyan.com/films/338493,"爱情,灾难",中国大陆,大陆上映,114.0,2018.0
52,阴阳师,0.0,http://maoyan.com/films/1199007,"剧情,奇幻",中国大陆,大陆上映,105.0,2018.0
53,妈妈咪鸭,0.0,http://maoyan.com/films/1204720,"动画,冒险,家庭",中国大陆,大陆上映,90.0,2018.0
55,雷神3：诸神黄昏,8.9,http://maoyan.com/films/249894,"动作,冒险,奇幻",美国,大陆上映,130.0,2017.0
57,缝纫机乐队,9.3,http://maoyan.com/films/1198177,"剧情,喜剧,音乐",中国大陆,大陆上映,117.0,2017.0
58,青蛙总动员,0.0,http://maoyan.com/films/346180,"动画,冒险","中国大陆,中国台湾",大陆上映,74.0,2018.0
59,前任2：备胎反击战,8.3,http://maoyan.com/films/248944,"喜剧,爱情",中国大陆,大陆上映,114.0,2015.0
60,我的影子在奔跑,0.0,http://maoyan.com/films/78537,"剧情,家庭",中国大陆,大陆上映,92.0,2018.0
61,我来过,0.0,http://maoyan.com/films/1211701,"剧情,爱情",中国大陆,大陆上映,93.0,2018.0
62,勇往直前,8.7,http://maoyan.com/films/368228,"剧情,传记,灾难",美国,大陆上映,127.0,2017.0
63,全球风暴,8.7,http://maoyan.com/films/338402,"动作,惊悚,灾难",美国,大陆上映,109.0,2017.0
64,公牛历险记,0.0,http://maoyan.com/films/828745,"喜剧,动画,冒险",美国,大陆上映,108.0,2018.0
65,小马宝莉大电影,0.0,http://maoyan.com/films/1208748,"喜剧,动画,冒险",美国,大陆上映,99.0,2018.0
66,追龙,9.0,http://maoyan.com/films/1176763,"动作,犯罪","中国香港,中国大陆",大陆上映,128.0,2017.0
67,新哥斯拉,0.0,http://maoyan.com/films/257714,"剧情,科幻,灾难",日本,大陆上映,120.0,2018.0
68,非常同伙,0.0,http://maoyan.com/films/343134,"喜剧,爱情",中国大陆,大陆上映,91.0,2018.0
69,东方快车谋杀案,8.2,http://maoyan.com/films/344422,"剧情,悬疑,犯罪",美国,大陆上映,114.0,2017.0
70,哈啰义乌,0.0,http://maoyan.com/films/612959,剧情,中国大陆,大陆上映,86.0,2017.0
71,西北风云,0.0,http://maoyan.com/films/1212518,"剧情,犯罪",中国大陆,大陆上映,96.0,2018.0
73,纯洁心灵·逐梦演艺圈,0.0,http://maoyan.com/films/340946,"喜剧,爱情,传记",中国大陆,大陆上映,98.0,2018.0
74,速度与激情8,9.3,http://maoyan.com/films/248700,"动作,惊悚,犯罪",美国,大陆上映,136.0,2017.0
75,疯狂特警队,8.1,http://maoyan.com/films/1140198,"喜剧,动作",法国,大陆上映,107.0,2017.0
76,阳光夏令营,0.0,http://maoyan.com/films/1133527,剧情,中国大陆,大陆上映,93.0,2017.0
77,七月半3：灵触第七感,5.7,http://maoyan.com/films/1133164,"恐怖,惊悚,科幻",中国大陆,大陆上映,83.0,2017.0
78,远亲,0.0,http://maoyan.com/films/1212701,剧情,中国大陆,大陆上映,92.0,2017.0
80,降魔传,6.9,http://maoyan.com/films/246019,"喜剧,奇幻","中国大陆,中国香港",大陆上映,91.0,2017.0
81,十七后 与青春化敌为友,0.0,http://maoyan.com/films/367767,"剧情,爱情","中国大陆,中国台湾",大陆上映,91.0,2018.0
82,王牌特工2：黄金圈,8.7,http://maoyan.com/films/341173,"动作,冒险,喜剧","英国,美国",大陆上映,139.0,2017.0
83,太空熊猫英雄归来,8.0,http://maoyan.com/films/343944,"动画,喜剧,科幻",中国大陆,大陆上映,82.0,2016.0
84,假如王子睡着了,7.9,http://maoyan.com/films/1198459,"喜剧,爱情",中国大陆,大陆上映,101.0,2017.0
85,醉佳导演,0.0,http://maoyan.com/films/1211465,"喜剧,爱情",中国大陆,大陆上映,89.0,2018.0
86,天籁梦想,0.0,http://maoyan.com/films/1211555,剧情,中国大陆,大陆上映,85.0,2018.0
87,侏罗纪世界2,0.0,http://maoyan.com/films/341628,"动作,冒险",美国,大陆上映,90.0,2018.0
